Type of Soil,Concentration added (mg/L),Repetition,Soil (g),Volume (mL),Dilution Factor,Equilibrium P (absorbance),Equilibrium Concentration  (mg/L),Average Equilibrium Concentration (Ceq) (mg/L),SD,P desorbed (mg/kg),Average P desobd (mg/kg),SD,P adsorbed (Q) (mg/kg),P desorbed (%),Average P desorbed (%),SD,,,,,,
,,,,,,,,,,,,,,,,,,P added (mg/L) (C0),Ceq (mg /L),des(mg/kg),P ads (mg/kg),P (desorb %)
,,,,,,,0.05,,,,,,,,,,,0,,0,,
,,,,,,,,,,,,,,,,,,0.5,,0,,
Forest TWW,1,1,1.0206,15,1,0.1616,0.653621495,0.665693146,0.01482694,9.606429972,9.842815869,0.328012875,7.966726554,120.5818966,138.8244168,16.15835826,,1,0.665693146,9.842815869,7.1491722,138.8244168
,1,2,1.0016,15,1,0.1665,0.682242991,,,10.21729718,,,7.068130244,144.5544554,,,,3,1.481697819,22.06816338,19.68594692,112.1044631
,1,3,1.022,15,1,0.1629,0.661214953,,,9.704720449,,,6.412659802,151.3368984,,,,5,2.205023364,32.79961336,31.0368969,105.6548708
,3,1,1.0069,15,1,0.3039,1.484813084,1.481697819,0.002760406,22.11957122,22.06816338,0.078374888,19.78173036,111.8181818,112.1044631,0.889948112,,10,2.505062305,37.14235308,79.6,46.73019497
,3,2,1.0098,15,1,0.303,1.479556075,,,21.97795714,,,19.73012607,111.3928875,,,,20,4.830996885,71.53086387,122.4458532,58.4293452
,3,3,1.0047,15,1,0.3032,1.480724299,,,22.10696177,,,19.54598434,113.10232,,,,40,9.068535826,134.4462619,188.6592947,71.27169264
,5,1,1.015,15,1,0.4394,2.276285047,2.205023364,0.115429783,33.63968049,32.79961336,1.53763498,31.65715206,106.2624977,105.6548708,0.976488357,,60,14.70599688,217.8575516,217.0760746,100.422127
,5,2,1.008,15,1,0.4378,2.266939252,,,33.73421506,,,31.77268766,106.1736276,,,,80,17.62850467,261.5365764,265.3811608,98.65877431
,5,3,1.0017,15,1,0.4044,2.071845794,,,31.02494451,,,29.68085096,104.5284872,,,,100,18.15615265,268.5302561,282.0440763,95.22637501
,10,1,1.0158,15,1,0.4821,2.525700935,2.505062305,0.021352741,37.29623353,37.14235308,0.233653955,80.6647493,46.23609923,46.73019497,2.372172518,,,,,,
,10,2,1.0101,15,1,0.4748,2.483060748,,,36.87348898,,,82.59453353,44.64398236,,,,,,,,
,10,3,1.0091,15,1,0.4788,2.506425234,,,37.25733674,,,75.55659387,49.31050333,,,,Calibration curve,,,,
,20,1,1.0135,15,2,0.4323,4.469626168,4.830996885,0.31504463,66.15134931,71.53086387,4.662308242,122.329279,54.07646463,58.4293452,3.945747269,,po43- (mg),Absorbance,Adjusted,,
,20,2,1.0177,15,2,0.4818,5.047897196,,,74.4015505,,,120.4469442,61.77122299,,,,0,0.06,0,,
,20,3,1.008,15,2,0.4756,4.97546729,,,74.03969181,,,124.5613364,59.44034798,,,,1,0.409,0.247,,
,40,1,1.0065,15,4,0.4433,9.196261682,9.068535826,0.111816419,137.0530802,134.4462619,2.392805842,193.8799671,70.68965517,71.27169264,0.540976952,,3,0.81,0.63,,
,40,2,1.0103,15,4,0.4358,9.021028037,,,133.935881,,,186.6464666,71.75913019,,,,5,0.928,0.868,,
,40,3,1.0187,15,4,0.4344,8.988317757,,,132.3498246,,,185.4514504,71.36629255,,,,,,,,
,60,1,1.0192,15,10,0.3043,14.87149533,14.70599688,0.15369292,218.8701235,217.8575516,1.496322649,212.6690899,102.9158133,100.422127,2.99025102,,,,,,
,60,2,1.0074,15,10,0.301,14.67873832,,,218.5637034,,,225.0750985,97.10701221,,,,,,,,
,60,3,1.011,15,10,0.2991,14.56775701,,,216.138828,,,213.4840354,101.2435556,,,,,,,,
,80,,1.0136,15,10,0.3504,17.56425234,17.62850467,0.096511166,259.928754,261.5365764,2.053325213,267.8410072,97.0459142,98.65877431,4.395636453,,,,,,
,80,,1.0085,15,10,0.3534,17.73948598,,,263.8495684,,,254.5999194,103.6330133,,,,,,,,
,80,,1.0111,15,10,0.3507,17.5817757,,,260.8314069,,,273.7025558,95.29739542,,,,,,,,
,100,,1.0066,15,10,0.3608,18.17172897,18.15615265,0.409100963,270.788729,268.5302561,6.421485514,289.737847,93.45990927,95.22637501,1.631640103,,,,,,
,100,,1.0184,15,10,0.3534,17.73948598,,,261.2846521,,,273.4756417,95.54220279,,,,,138,,,
,100,,1.0177,15,10,0.3674,18.55724299,,,273.5173871,,,282.9187402,96.67701296,,,,,,,,
,,,,,,,,,,,,,,,,,,P added (mg/L) (C0),Ceq (mg /L),Q (mg/kg),,
,,,,,,,,,,,,,,,,,,0,0,0,,
,,,,,,,,,,,,,,,,,,0.5,0,0,,
Forest nonirrigated,1,1,1.0027,15,1,0.0868,0.216705607,0.251557632,0.03834879,3.241831168,3.759307768,0.567652344,14.95960906,21.67056075,25.15576324,3.834879024,,1,0.251557632,3.759307768,,
,1,2,1.0028,15,1,0.0917,0.245327103,,,3.669631574,,,14.95811727,24.53271028,,,,3,0.283294393,4.204012346,,
,1,3,1.0053,15,1,0.0998,0.292640187,,,4.366460563,,,14.92091913,29.26401869,,,,5,0.311915888,4.626546866,,
,3,1,1.0132,15,1,0.0932,0.254088785,0.283294393,0.06045208,3.761677631,4.204012346,0.888843644,44.41373865,8.469626168,9.443146417,2.015069338,,10,0.544392523,8.105670443,,
,3,2,1.006,15,1,0.0913,0.242990654,,,3.623121087,,,44.73161034,8.099688474,,,,20,0.753894081,11.19364083,,
,3,3,1.0124,15,1,0.1101,0.352803738,,,5.22723832,,,44.44883445,11.76012461,,,,40,1.511487539,22.5289423,,
,5,1,1.0057,15,1,0.0986,0.285630841,0.311915888,0.027860374,4.260179593,4.626546866,0.396291489,74.57492294,5.712616822,6.238317757,0.557207477,,60,2.535825545,37.77500029,,
,5,2,1.0138,15,1,0.1081,0.341121495,,,5.047171464,,,73.97908858,6.822429907,,,,80,3.39758567,50.63810108,,
,5,3,1.0137,15,1,0.1026,0.308995327,,,4.57228954,,,73.9863865,6.179906542,,,,100,4.154205607,61.95631913,,
,10,1,1.0097,15,2,0.0949,0.528037383,0.544392523,0.038886255,7.844469395,8.105670443,0.623031736,146.6730657,5.348268518,5.542378729,0.38602454,,,,,,
,10,2,1.0017,15,2,0.1001,0.588785047,,,8.816787163,,,147.2671692,5.986933281,,,,,,,,
,10,3,1.0117,15,2,0.0939,0.51635514,,,7.655754772,,,144.6683615,5.29193439,,,,,,,,
,20,1,1.004,15,1,0.1645,0.670560748,0.753894081,0.109945569,10.01833786,11.19364083,1.623268708,249.6439476,4.013050571,4.376809723,0.566749191,,,,,,
,20,2,1.0101,15,1,0.2001,0.878504673,,,13.04580744,,,259.3692722,5.029819965,,,,,,,,
,20,3,1.0164,15,1,0.1717,0.712616822,,,10.51677719,,,257.2874944,4.087558633,,,,,,,,
,40,1,1.0089,15,1,0.3056,1.494742991,1.511487539,0.02950971,22.22335698,22.5289423,0.495168548,382.8369104,5.804914934,5.852099436,0.048445796,,,,,,
,40,2,1.0067,15,1,0.3055,1.494158879,,,22.26321961,,,377.2330526,5.901714989,,,,,,,,
,40,3,1.0036,15,1,0.3143,1.545560748,,,23.10025031,,,394.898459,5.849668386,,,,,,,,
