FRACTION I - Water,,,,,,,,,,,,,,,Calibration,,,,,,,,,,,,,,,,,,,
Soil,Time,Samples ID,Repetition,Weight (g),Volume (mL),Dilution factor,Absorbance,P mg/L,P mg/kg,Mean,SD,S4,Forest - TWW,,po43- (mg),Absorbance,,,Adjusted,,,,,,,,,,,,,,,
,,Blank1,,,30,,0.0496,-0.000584112,,,,S5,Forest nonirrigated,,0,0.05,,,0,,,,,,,,,,,,,,,
,,Blank2,,,,,0.0481,-0.009345794,,,,S6,Agricultural -TWW,,1,0.305,,,0.305,,,,,,,,,,,,,,,
,,Blank3,,,,,0.0473,-0.014018692,,,,S7,Agricultural nonirrigated,,2,0.416,,,0.415,,,,,,,,,,,,,,,
,,Blank4,,,,,0.0503,0.003504673,,,,,,,4,0.928,,,0.656,,,,,,,,,,,,,,,
S4,Initial,S4,1,0.5038,30,1,0.3474,1.738901869,103.5471538,111.1975908,5.325477947,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,2,0.503,30,1,0.3742,1.895443925,113.0483454,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,3,0.5048,30,1,0.3835,1.949766355,115.8735948,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,4,0.5061,30,1,0.3741,1.894859813,112.3212693,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,1,0.5026,30,1,0.0528,0.018107477,1.080828291,1.109931212,0.495996289,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,2,0.5049,30,1,0.0515,0.010514019,0.624718877,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,3,0.5048,30,1,0.0524,0.015771028,0.937263948,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,4,0.5071,30,1,0.0549,0.030373832,1.796913732,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,1,0.5066,30,1,0.1324,0.483060748,28.60604506,31.59874534,3.457745532,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,2,0.5067,30,1,0.1392,0.522780374,30.95206476,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,3,0.506,30,1,0.1553,0.61682243,36.5704998,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,4,0.5066,30,1,0.1372,0.511098131,30.26637174,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,1,0.503,30,1,0.0699,0.117990654,7.037215957,7.799398616,1.626322704,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,2,0.5032,30,1,0.0748,0.14661215,8.740787929,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,3,0.5067,30,1,0.0668,0.099883178,5.913746452,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,4,0.5051,30,1,0.0771,0.160046729,9.505844128,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
