Type of Soil,Concentration added (mg/L),Repetition,Soil (g),Volume (mL),Dilution Factor,Equilibrium P (absorbance),Equilibrium P adjusted (absorbance),Equilibrium Concentration  (mg/L), Equilibrium Concentration normalized (Ceq) (mg/L),Average Equilibrium Concentration (Ceq) (mg/L),SD,P adsorbed (Q) (mg/kg),Average P adsorbed (Q) (mg/kg),SD,,,,
,blank,,,,1,0.0533,0.0533,0.021028037,,,,,,,,,,
,blank,,,,1,0.0509,0.0509,0.007009346,,,,,,,,,,
,,,,,1,0.0537,0.0537,0.023364486,,,,,,,,,,
S4                              (ForestT WW irrigation),blank,,,,,0.0533,,,,,,,,,,,,
,blank,,,,,0.0509,,,,,,,,,,,,
,blank,,,,,0.0537,,,,,,,,,,,,
,0,1,1.0755,15,4,0.181,0.128366667,1.838006231,1.856697819,0,,,,0,,,,
,0,2,1.0216,15,4,0.1884,0.135766667,2.010903427,,,,,,,,,,
,0,3,1.0069,15,4,0.176,0.123366667,1.721183801,,,,,,,,,,
,0.5,1,1.0115,15,4,0.196,0.143366667,2.18847352,0.331775701,0.31152648,0.02245099,2.494675715,2.788819082,0.338784481,,P added (mg/L) (C0),Ceq (mg /L),Q (mg/kg)
,0.5,2,1.0207,15,4,0.1953,0.142666667,2.17211838,0.315420561,,,2.71254197,,,,0,0,0
,0.5,3,1.0095,15,4,0.1941,0.141466667,2.144080997,0.287383178,,,3.159239561,,,,0.5,0.31152648,2.788819082
,1,1,1.0206,15,4,0.2014,0.148766667,2.314641745,0.457943925,0.51635514,0.053534763,7.966726554,7.1491722,0.780196588,,1,0.51635514,7.1491722
,1,2,1.0016,15,4,0.2044,0.151766667,2.384735202,0.528037383,,,7.068130244,,,,3,1.678232087,19.68594692
,1,3,1.022,15,4,0.2059,0.153266667,2.419781931,0.563084112,,,6.412659802,,,,5,2.913551402,31.0368969
,3,1,1.0069,15,2,0.4044,0.351766667,3.528816199,1.67211838,1.678232087,0.010894174,19.78173036,19.68594692,0.123926971,,10,4.630841121,79.60529223
,3,2,1.0098,15,2,0.40437,0.351736667,3.528465732,1.671767913,,,19.73012607,,,,20,11.7307243,122.4458532
,3,3,1.0047,15,2,0.406,0.353366667,3.547507788,1.690809969,,,19.54598434,,,,40,27.27492212,188.6592947
,5,1,1.015,15,2,0.5059,0.453266667,4.714563863,2.857866044,2.913551402,0.090447523,31.65715206,31.0368969,1.175790178,,60,45.34832555,217.0760746
,5,2,1.008,15,2,0.5065,0.453866667,4.721573209,2.864875389,,,31.77268766,,,,80,62.11137072,265.3811608
,5,3,1.0017,15,2,0.5196,0.466966667,4.874610592,3.017912773,,,29.68085096,,,,100,80.93146417,282.0440763
,10,1,1.0158,15,10,0.2118,0.159166667,6.394080997,4.537383178,4.630841121,0.252793049,80.6647493,79.60529223,3.636617329,,,,
,10,2,1.0101,15,10,0.2101,0.157466667,6.294781931,4.438084112,,,82.59453353,,,,,,
,10,3,1.0091,15,10,0.2183,0.165666667,6.773753894,4.917056075,,,75.55659387,,,,,,
,20,1,1.0135,15,5,0.5677,0.515066667,13.5913162,11.73461838,11.7307243,0.099356315,122.329279,122.4458532,2.059671799,,,,
,20,2,1.0177,15,5,0.5709,0.518266667,13.68477414,11.82807632,,,120.4469442,,,,,,
,20,3,1.008,15,5,0.5641,0.511466667,13.48617601,11.62947819,,,124.5613364,,,,,,
,40,1,1.0065,15,10,0.5962,0.543566667,28.84735202,26.99065421,27.27492212,0.246460259,193.8799671,188.6592947,4.560546158,,,,
,40,2,1.0103,15,10,0.6037,0.551066667,29.28543614,27.42873832,,,186.6464666,,,,,,
,40,3,1.0187,15,10,0.6033,0.550666667,29.26207165,27.40537383,,,185.4514504,,,,,,
,60,1,1.0192,15,15,0.6434,0.590766667,47.40654206,45.54984424,45.34832555,0.403322989,212.6690899,217.0760746,6.939331466,,,,
,60,2,1.0074,15,15,0.6358,0.583166667,46.74065421,44.88395639,,,225.0750985,,,,,,
,60,3,1.011,15,15,0.6441,0.591466667,47.46787383,45.61117601,,,213.4840354,,,,,,
,80,,1.0136,15,20,0.6481,0.595466667,63.75778816,61.90109034,62.11137072,0.6903405,267.8410072,265.3811608,9.786000871,,,,
,80,,1.0085,15,20,0.6565,0.603866667,64.73909657,62.88239875,,,254.5999194,,,,,,
,80,,1.0111,15,20,0.6451,0.592466667,63.40732087,61.55062305,,,273.7025558,,,,,,
,100,,1.0066,15,25,0.6667,0.614066667,82.4133567,80.55665888,80.93146417,0.451586443,289.737847,282.0440763,8.166309365,,,,
,100,,1.0184,15,25,0.6727,0.620066667,83.28952492,81.4328271,,,273.4756417,,,,,,
,100,,1.0177,15,25,0.6684,0.615766667,82.66160436,80.80490654,,,282.9187402,,,,,,
