ID SAMPLE,Description,Repetition,Time (h),Capsule  (g),Wet soil (g) + cap,Dry soil + cap (g),Wet soil (g),% Water Content,% Water content - average,SD,,
S4,Forest - Living filter TWW irrigation,1,24,1.1027,11.1296,9.3432,10.0269,21.67829622,,,,% of dry mass
S4,Forest - Living filter TWW irrigation,2,24,1.109,11.1686,9.3992,10.0596,21.34327278,21.41286951,0.238374104,,78.58713049
S4,Forest - Living filter TWW irrigation,3,24,1.1017,11.1095,9.3578,10.0078,21.21703952,,,,
S5,Forest - Living filter nonirrigated,1,24,1.1122,11.1167,9.1616,10.0045,24.28876686,,,,
S5,Forest - Living filter nonirrigated,2,24,1.1093,11.1563,9.2332,10.047,23.67212792,24.14312495,0.417675544,,75.85687505
S5,Forest - Living filter nonirrigated,3,24,1.1075,11.1653,9.1881,10.0578,24.46848006,,,,
S6,Agricultural - Living filter TWW irrigation,1,24,1.1137,11.1744,9.8925,10.0607,14.60222354,,,,
S6,Agricultural - Living filter TWW irrigation,2,24,1.0991,11.1952,9.8366,10.0961,15.5490701,14.97287827,0.505780315,,85.02712173
S6,Agricultural - Living filter TWW irrigation,3,24,1.1076,11.1805,9.8844,10.0729,14.76734117,,,,
S7,Agricultural - Living filter nonirrigated,1,24,1.1063,11.1314,9.4785,10.0251,19.74271995,,,,
S7,Agricultural - Living filter nonirrigated,2,24,1.1275,11.1753,9.5098,10.0478,19.8692483,19.50822447,0.519600614,,80.49177553
S7,Agricultural - Living filter nonirrigated,3,24,1.1201,11.2058,9.6017,10.0857,18.91270515,,,,
