variable,comparison,group1,group2,n1,mean1,sd1,n2,mean2,sd2,shapiro_W_g1,shapiro_p_g1,shapiro_W_g2,shapiro_p_g2,var_g1,var_g2,levene_BF_p
pH,Forest: irrigated vs nonirrigated,forest_irrigated,forest_nonirrigated,4,7.7925,0.026299556,4,4.75,0.031622777,0.886912378,0.368999333,0.939820169,0.653230328,0.000691667,0.001,0.548977704
EC,Forest: irrigated vs nonirrigated,forest_irrigated,forest_nonirrigated,4,86.5,1.732050808,4,23.6975,0.406150629,0.839701687,0.19453448,0.963098278,0.798389712,3,0.164958333,0.345254872
Fe2,Forest: irrigated vs nonirrigated,forest_irrigated,forest_nonirrigated,4,0.375201758,0.051187826,4,0.721376803,0.047627611,0.985197377,0.931754461,0.95215944,0.729626402,0.002620194,0.002268389,0.828645032
Fe3,Forest: irrigated vs nonirrigated,forest_irrigated,forest_nonirrigated,4,2.050656784,0.080361359,4,5.656931199,0.192659334,0.986317353,0.937928638,0.822150253,0.148241533,0.006457948,0.037117619,0.37303076
WPO4,Forest: irrigated vs nonirrigated,forest_irrigated,forest_nonirrigated,4,37.3534497,0.3503158,4,0.192379118,0.012246652,0.931547678,0.603525309,0.964605122,0.807844539,0.12272116,0.00014998,0.127025194
Alk,Forest: irrigated vs nonirrigated,forest_irrigated,forest_nonirrigated,4,335.8405196,4.528184489,4,20.49673689,1.980281441,0.885412782,0.362269494,0.97282029,0.858862741,20.50445477,3.921514587,0.463002116
Ac,Forest: irrigated vs nonirrigated,forest_irrigated,forest_nonirrigated,4,139.2078682,2.279919491,4,189.912893,7.104640427,0.992807254,0.971378208,0.987433825,0.943983564,5.198032884,50.4759156,0.208521136
Pyro,Forest: irrigated vs nonirrigated,forest_irrigated,forest_nonirrigated,4,115.3831641,4.821551382,4,74.0333038,5.894831829,0.99146958,0.964873747,0.967571738,0.826393357,23.24735773,34.74904229,0.782539703
FI,Forest: irrigated vs nonirrigated,forest_irrigated,forest_nonirrigated,4,111.1975908,5.325477933,4,1.109931212,0.495996289,0.867754344,0.288967534,0.932270036,0.60780462,28.36071522,0.246012319,0.207073935
FII,Forest: irrigated vs nonirrigated,forest_irrigated,forest_nonirrigated,4,194.3462894,10.2468983,4,57.92281003,0.807325451,0.914519177,0.506670213,0.809431977,0.120239448,104.9989249,0.651774383,0.004821014
